LIMIT_BAL,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_1_2,PAY_1_3,PAY_2_2,PAY_3_2,PAY_4_2,PAY_5_2,dpnm
20000,3913,0,689,1,0,1,0,0,0,1
120000,2682,0,1000,0,0,1,0,0,0,1
90000,29239,1518,1500,0,0,0,0,0,0,0
50000,46990,2000,2019,0,0,0,0,0,0,0
50000,8617,2000,36681,0,0,0,0,0,0,0
50000,64400,2500,1815,0,0,0,0,0,0,0
500000,367965,55000,40000,0,0,0,0,0,0,0
100000,11876,380,601,0,0,0,0,0,0,0
140000,11285,3329,0,0,0,0,1,0,0,0
20000,0,0,0,0,0,0,0,0,0,0
200000,11073,2306,12,0,0,0,1,0,0,0
260000,12261,21818,9966,0,0,0,0,0,0,0
630000,12137,1000,6500,0,0,0,0,0,0,0
70000,65802,3200,0,0,0,1,1,0,0,1
250000,70887,3000,3000,0,0,0,0,0,0,0
50000,50614,0,1500,0,0,1,0,0,0,0
20000,15376,3200,0,0,0,0,1,1,1,1
320000,253286,10358,10000,0,0,0,0,0,0,0
360000,0,0,0,0,0,0,0,0,0,0
180000,0,0,0,0,0,0,0,0,0,0
130000,38358,3000,1537,0,0,0,0,0,0,0
120000,316,316,316,0,0,0,0,0,0,1
70000,41087,2007,3582,1,0,0,0,1,1,1
450000,5512,19428,1473,0,0,0,0,0,0,1
90000,4744,5757,0,0,0,0,0,0,0,0
50000,47620,1973,1426,0,0,0,0,0,0,0
60000,-109,0,1000,0,0,0,0,0,0,1
50000,22541,1300,1300,0,0,0,0,0,0,0
50000,650,3415,3421,0,0,0,0,0,0,0
50000,15329,1500,1500,0,0,0,0,0,0,0
230000,16646,17270,13281,0,0,0,0,0,0,0
50000,30518,1718,1500,1,0,0,0,0,0,1
100000,93036,3023,3511,0,0,0,0,0,0,0
500000,10929,4152,22827,0,0,0,0,0,0,0
500000,13709,5006,31178,0,0,0,0,0,0,0
160000,30265,131,396,0,0,0,0,0,0,0
280000,186503,8026,8060,0,0,0,0,0,0,0
60000,15054,1500,1518,0,0,0,0,0,0,0
50000,0,780,0,0,0,0,0,0,0,1
280000,498,9075,0,0,0,0,1,0,0,0
360000,218668,10000,7000,0,0,0,0,0,0,0
70000,67521,3000,4500,0,0,0,0,0,0,0
10000,1877,1500,2927,0,0,0,0,0,0,0
140000,59504,3000,3000,0,0,0,0,0,0,0
40000,18927,3000,5000,0,0,0,0,1,0,0
210000,0,0,0,0,0,0,0,0,0,1
20000,14028,3000,0,0,0,0,1,0,0,1
150000,4463,1013,1170,0,0,0,0,0,0,1
380000,22401,21540,15138,0,0,0,0,0,0,0
20000,17447,1318,1315,0,0,0,0,0,0,0
70000,37042,0,3100,0,0,1,1,1,1,1
100000,61559,2000,1606,0,0,0,0,0,0,0
310000,13465,7875,7600,0,0,0,0,0,0,0
180000,41402,1300,2010,0,0,1,0,0,0,0
150000,46224,1600,1718,1,0,0,0,0,0,0
500000,1905,3640,162,0,0,0,0,0,0,0
180000,16386,8500,1500,0,0,0,0,0,0,0
180000,175886,8083,7296,0,0,0,0,0,0,0
200000,1587,0,0,0,0,0,1,1,1,0
400000,400134,17000,15029,0,0,0,0,0,0,0
500000,22848,1516,1300,0,0,0,0,0,0,1
70000,70800,4025,2095,0,0,0,0,0,0,0
50000,24987,0,2700,1,0,1,1,1,1,1
50000,28718,1000,0,0,0,0,0,0,0,1
130000,99,0,0,0,0,0,0,0,0,0
200000,152519,0,0,0,0,0,0,0,1,1
10000,2097,2300,0,1,0,1,1,0,0,1
210000,300,300,1159,1,0,0,0,0,0,0
130000,-190,0,0,0,0,0,0,0,1,0
20000,18565,0,1200,1,0,0,0,0,0,0
80000,780,0,390,0,0,0,0,0,0,0
320000,58267,2500,2500,1,0,1,1,1,1,1
200000,9076,5818,15,0,0,0,0,0,1,0
290000,0,0,3155,0,0,0,0,0,0,0
340000,3048,5713,23453,0,0,0,0,0,0,0
20000,14619,2850,0,0,0,0,1,0,0,0
50000,42838,1759,1779,0,0,0,0,0,0,0
300000,291,291,291,0,0,0,0,0,0,0
30000,28387,1686,1400,0,0,0,0,0,0,1
