LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT3,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,dpnm
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,689,0,0,689,0,0,0,0,1
120000,2,2,2,26,-1,2,0,0,0,2,2682,2682,3455,0,1000,1000,1000,0,2000,1
90000,2,2,2,34,0,0,0,0,0,0,29239,13559,14948,1518,1500,1000,1000,1000,5000,0
50000,2,2,1,37,0,0,0,0,0,0,46990,49291,28959,2000,2019,1200,1100,1069,1000,0
50000,1,2,1,57,-1,0,-1,0,0,0,8617,35835,19146,2000,36681,10000,9000,689,679,0
50000,1,1,2,37,0,0,0,0,0,0,64400,57608,19619,2500,1815,657,1000,1000,800,0
500000,1,1,2,29,0,0,0,0,0,0,367965,445007,483003,55000,40000,38000,20239,13750,13770,0
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,601,-159,380,601,0,581,1687,1542,0
140000,2,3,1,28,0,0,2,0,0,0,11285,12108,11793,3329,0,432,1000,1000,1000,0
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,13007,0,0,0,13007,1122,0,0
200000,2,3,2,34,0,0,2,0,0,-1,11073,5535,1828,2306,12,50,300,3738,66,0
260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,9966,22287,21818,9966,8583,22301,0,3640,0
630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,1000,6500,6500,6500,2870,0,0
70000,1,2,2,30,1,2,2,0,0,2,65802,65701,36137,3200,0,3000,3000,1500,0,1
250000,1,1,2,29,0,0,0,0,0,0,70887,63561,56875,3000,3000,3000,3000,3000,3000,0
50000,2,3,3,23,1,2,0,0,0,0,50614,28116,29531,0,1500,1100,1200,1300,1100,0
20000,1,1,2,24,0,0,2,2,2,2,15376,17428,17905,3200,0,1500,0,1650,0,1
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,194663,5856,10358,10000,75940,20000,195599,50000,0
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
130000,2,3,2,39,0,0,0,0,0,-1,38358,24489,11802,3000,1537,1000,2000,930,33764,0
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,632,316,316,0,632,316,0,1
70000,2,2,2,26,2,0,0,2,2,2,41087,45020,46905,2007,3582,0,3601,0,1820,1
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,1473,0,19428,1473,560,0,0,1128,1
90000,1,1,2,23,0,0,0,-1,0,0,4744,0,6360,5757,0,5398,1200,2045,2000,0
50000,1,3,2,23,0,0,0,0,0,0,47620,36023,29829,1973,1426,1001,1432,1062,997,0
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,259,127,0,1000,0,500,0,1000,1
50000,2,3,2,30,0,0,0,0,0,0,22541,17163,18931,1300,1300,1000,1500,1000,1012,0
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3416,30430,3415,3421,2044,30430,257,0,0
50000,1,1,2,26,0,0,0,0,0,0,15329,17496,18375,1500,1500,1000,1000,1600,0,0
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,13266,14307,17270,13281,15339,14307,37292,0,0
50000,1,2,2,33,2,0,0,0,0,0,30518,22102,23217,1718,1500,1000,1000,1000,716,1
100000,1,1,2,32,0,0,0,0,0,0,93036,82880,78703,3023,3511,3302,3204,3200,2504,0
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,22722,71439,4152,22827,7521,71439,981,51582,0
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,31130,0,5006,31178,3180,0,5293,768,0
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-527,-1488,131,396,396,565,792,0,0
280000,1,2,1,40,0,0,0,0,0,0,186503,180422,173901,8026,8060,6300,6400,6400,6737,0
60000,2,2,2,22,0,0,0,0,0,-1,15054,11068,-28335,1500,1518,2043,0,47671,617,0
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,0,0,780,0,0,0,0,0,1
280000,1,1,2,31,-1,-1,2,-1,0,-1,498,4641,17976,9075,0,9976,8000,9525,781,0
360000,1,1,2,33,0,0,0,0,0,0,218668,206895,195969,10000,7000,6000,188840,28000,4000,0
70000,2,1,2,25,0,0,0,0,0,0,67521,63949,64718,3000,4500,4042,2500,2800,2500,0
10000,1,2,2,22,0,0,0,0,0,0,1877,6003,3670,1500,2927,1000,300,1000,500,0
140000,2,2,1,37,0,0,0,0,0,0,59504,62925,67079,3000,3000,3000,4000,4000,3000,0
40000,2,1,2,30,0,0,0,2,0,0,18927,25921,26636,3000,5000,0,2000,3000,0,0
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
20000,2,1,2,22,0,0,2,-1,0,0,14028,15800,16675,3000,0,16741,334,0,0,1
150000,2,4,2,46,0,0,-1,0,0,-2,4463,1170,0,1013,1170,0,0,0,0,1
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,15134,11849,21540,15138,24677,11851,11875,8251,0
20000,1,1,2,24,0,0,0,0,0,0,17447,19476,20480,1318,1315,704,928,912,1069,0
70000,1,3,2,42,1,2,2,2,2,0,37042,38355,38659,0,3100,2000,0,1500,1500,1
100000,2,3,3,43,0,0,0,0,0,0,61559,43824,35762,2000,1606,1500,2000,1500,1000,0
310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7600,3544,7875,7600,11185,3544,464,0,0
180000,2,1,2,25,1,2,0,0,0,0,41402,42758,44420,1300,2010,1762,1762,1790,1622,0
150000,2,1,2,29,2,0,0,0,0,0,46224,31434,21042,1600,1718,1049,1500,2000,5000,0
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,162,151,3640,162,0,151,2530,0,0
180000,2,3,1,34,0,0,0,-1,-1,-1,16386,8441,-679,8500,1500,7500,679,9000,2000,0
180000,2,2,1,34,0,0,0,0,0,0,175886,172308,132202,8083,7296,5253,4814,4816,3800,0
200000,2,1,2,34,-1,3,2,2,2,2,1587,782,700,0,0,700,0,1200,0,0
400000,2,2,1,29,0,0,0,0,0,0,400134,404205,356656,17000,15029,30000,12000,12000,23000,0
500000,2,3,1,28,0,0,0,0,0,0,22848,18878,13827,1516,1300,1000,1000,2000,2000,1
70000,1,2,1,39,0,0,0,0,0,-1,70800,69938,14096,4025,2095,1000,2000,3000,0,0
50000,1,1,2,29,2,2,2,2,2,2,24987,26591,27667,0,2700,0,2225,1200,0,1
50000,2,2,1,46,0,0,0,-2,-2,-2,28718,0,0,1000,0,0,0,0,0,1
130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,2353,0,0,0,2353,0,0,0
200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,144076,8198,0,0,8222,300,0,1000,1
10000,1,2,1,56,2,2,2,0,0,0,2097,3978,4196,2300,0,150,200,200,160,1
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,1159,300,300,1159,2280,300,4250,909,0
130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,10161,0,0,20161,0,7319,13899,0
20000,1,4,2,22,2,0,0,0,0,0,18565,17285,11205,0,1200,1000,500,1000,0,0
80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,390,390,0,390,390,390,390,390,0
320000,1,2,2,29,2,2,2,2,2,2,58267,60184,62307,2500,2500,0,4800,2400,1600,1
200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,-684,3848,5818,15,9102,17,3165,1395,0
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,3155,2359,0,3155,0,2359,0,0,0
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,23337,80153,5713,23453,4314,80552,25949,2016,0
20000,1,2,2,24,0,0,2,0,0,0,14619,16642,17332,2850,0,610,630,1500,0,0
50000,1,3,2,25,-1,0,0,0,0,0,42838,36087,9590,1759,1779,320,500,1000,1000,0
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,0
30000,2,2,2,22,0,0,0,0,0,0,28387,30326,26446,1686,1400,560,3000,1765,0,1
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
470000,2,3,3,33,0,0,0,0,0,0,165254,162702,29271,6400,7566,3000,960,1000,3000,0
360000,2,1,2,26,0,0,0,0,0,-1,23411,30400,180000,4796,3400,3100,146900,196,2963,0
60000,1,3,2,30,0,0,0,0,0,0,26324,28108,19899,1576,1213,648,768,1140,0,1
400000,2,2,1,44,0,0,2,0,0,0,131595,126819,104990,10700,3,3050,3000,3200,2800,0
50000,2,3,2,49,0,0,0,0,0,0,48909,21489,19342,1676,1302,700,699,849,826,0
160000,1,2,2,33,0,0,0,0,0,0,130028,71934,118407,4400,3547,80000,4500,4800,4500,0
360000,2,1,1,45,-1,-1,2,0,-1,-1,390,780,390,1170,0,0,390,390,390,1
160000,2,2,2,32,0,0,0,0,0,-1,3826,6604,7072,1147,2000,2000,0,766,2303,0
130000,2,1,1,35,0,0,0,-1,-1,-1,81313,17740,7095,40000,5000,1330,7095,1190,2090,0
20000,1,3,2,44,2,2,0,0,0,2,8583,9651,12314,0,1651,1000,2000,0,1500,0
200000,1,1,1,53,2,2,2,2,2,2,138180,142460,147124,6300,5500,5500,5500,5000,5000,1
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,3968,0,0,3968,0,0,0,0,0
100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,0,0,7555,0,0,0,0,0,0
160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,840,0,1602,840,840,0,0,7736,0
