LIMIT_BAL,PAY_1,PAY_2,PAY_3,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,dpnm
20000,2,2,-1,-2,-2,3913,0,689,0,1
120000,-1,2,0,0,2,2682,0,1000,1000,1
90000,0,0,0,0,0,29239,1518,1500,1000,0
50000,0,0,0,0,0,46990,2000,2019,1200,0
50000,-1,0,-1,0,0,8617,2000,36681,10000,0
50000,0,0,0,0,0,64400,2500,1815,657,0
500000,0,0,0,0,0,367965,55000,40000,38000,0
100000,0,-1,-1,0,-1,11876,380,601,0,0
140000,0,0,2,0,0,11285,3329,0,432,0
20000,-2,-2,-2,-1,-1,0,0,0,0,0
200000,0,0,2,0,-1,11073,2306,12,50,0
260000,-1,-1,-1,-1,2,12261,21818,9966,8583,0
630000,-1,0,-1,-1,-1,12137,1000,6500,6500,0
70000,1,2,2,0,2,65802,3200,0,3000,1
250000,0,0,0,0,0,70887,3000,3000,3000,0
50000,1,2,0,0,0,50614,0,1500,1100,0
20000,0,0,2,2,2,15376,3200,0,1500,1
320000,0,0,0,-1,-1,253286,10358,10000,75940,0
360000,1,-2,-2,-2,-2,0,0,0,0,0
180000,1,-2,-2,-2,-2,0,0,0,0,0
130000,0,0,0,0,-1,38358,3000,1537,1000,0
120000,-1,-1,-1,-1,-1,316,316,316,0,1
70000,2,0,0,2,2,41087,2007,3582,0,1
450000,-2,-2,-2,-2,-2,5512,19428,1473,560,1
90000,0,0,0,0,0,4744,5757,0,5398,0
50000,0,0,0,0,0,47620,1973,1426,1001,0
60000,1,-2,-1,-1,-1,-109,0,1000,0,1
50000,0,0,0,0,0,22541,1300,1300,1000,0
50000,-1,-1,-1,-1,-1,650,3415,3421,2044,0
50000,0,0,0,0,0,15329,1500,1500,1000,0
230000,-1,-1,-1,-1,-1,16646,17270,13281,15339,0
50000,2,0,0,0,0,30518,1718,1500,1000,1
100000,0,0,0,0,0,93036,3023,3511,3302,0
500000,-2,-2,-2,-2,-2,10929,4152,22827,7521,0
500000,-2,-2,-2,-2,-2,13709,5006,31178,3180,0
160000,-1,-1,-2,-2,-1,30265,131,396,396,0
280000,0,0,0,0,0,186503,8026,8060,6300,0
60000,0,0,0,0,-1,15054,1500,1518,2043,0
50000,1,-1,-1,-2,-2,0,780,0,0,1
280000,-1,-1,2,0,-1,498,9075,0,9976,0
360000,0,0,0,0,0,218668,10000,7000,6000,0
70000,0,0,0,0,0,67521,3000,4500,4042,0
10000,0,0,0,0,0,1877,1500,2927,1000,0
140000,0,0,0,0,0,59504,3000,3000,3000,0
40000,0,0,0,0,0,18927,3000,5000,0,0
210000,-2,-2,-2,-2,-2,0,0,0,0,1
20000,0,0,2,0,0,14028,3000,0,16741,1
150000,0,0,-1,0,-2,4463,1013,1170,0,1
380000,-1,-1,-1,-1,-1,22401,21540,15138,24677,0
20000,0,0,0,0,0,17447,1318,1315,704,0
70000,1,2,2,2,0,37042,0,3100,2000,1
100000,0,0,0,0,0,61559,2000,1606,1500,0
310000,-2,-2,-2,-2,-2,13465,7875,7600,11185,0
180000,1,2,0,0,0,41402,1300,2010,1762,0
150000,2,0,0,0,0,46224,1600,1718,1049,0
500000,-2,-2,-2,-2,-2,1905,3640,162,0,0
180000,0,0,0,-1,-1,16386,8500,1500,7500,0
180000,0,0,0,0,0,175886,8083,7296,5253,0
200000,-1,3,2,2,2,1587,0,0,700,0
400000,0,0,0,0,0,400134,17000,15029,30000,0
500000,0,0,0,0,0,22848,1516,1300,1000,1
70000,0,0,0,0,-1,70800,4025,2095,1000,0
50000,2,2,2,2,2,24987,0,2700,0,1
50000,0,0,0,-2,-2,28718,1000,0,0,1
130000,-1,-1,-2,-1,-1,99,0,0,0,0
200000,-2,-2,-2,2,2,152519,0,0,8222,1
10000,2,2,2,0,0,2097,2300,0,150,1
210000,2,-1,-1,-1,-1,300,300,1159,2280,0
130000,1,-2,-2,2,-1,-190,0,0,20161,0
20000,2,0,0,0,0,18565,0,1200,1000,0
80000,-1,-1,-1,-1,-1,780,0,390,390,0
320000,2,2,2,2,2,58267,2500,2500,0,1
200000,-1,-1,-1,2,-1,9076,5818,15,9102,0
290000,1,-2,-1,-1,-1,0,0,3155,0,0
340000,-1,-1,-1,-1,-1,3048,5713,23453,4314,0
20000,0,0,2,0,0,14619,2850,0,610,0
50000,-1,0,0,0,0,42838,1759,1779,320,0
300000,-1,-1,-1,-1,-1,291,291,291,291,0
30000,0,0,0,0,0,28387,1686,1400,560,1
240000,1,-2,-2,-2,-2,0,0,0,0,1
470000,0,0,0,0,0,165254,6400,7566,3000,0
360000,0,0,0,0,-1,23411,4796,3400,3100,0
60000,0,0,0,0,0,26324,1576,1213,648,1
400000,0,0,2,0,0,131595,10700,3,3050,0
50000,0,0,0,0,0,48909,1676,1302,700,0
160000,0,0,0,0,0,130028,4400,3547,80000,0
360000,-1,-1,2,-1,-1,390,1170,0,0,1
160000,0,0,0,0,-1,3826,1147,2000,2000,0
130000,0,0,0,-1,-1,81313,40000,5000,1330,0
20000,2,2,0,0,2,8583,0,1651,1000,0
200000,2,2,2,2,2,138180,6300,5500,5500,1
280000,-1,-1,-1,0,-2,7524,0,3968,0,0
100000,-2,-2,-2,-2,-2,-2000,7555,0,0,0
160000,-1,-1,-1,-1,-2,880,1602,840,840,0
60000,0,0,0,0,0,45648,1937,1301,682,0
90000,0,0,0,0,0,83725,3621,3597,1179,0
360000,-1,-1,-1,-1,0,3967,8339,3394,12902,0
150000,0,0,0,0,0,86009,4031,10006,3266,0
50000,0,0,0,0,0,18722,1411,1194,379,0
20000,0,0,0,0,-1,17973,1699,1460,626,1
140000,-2,-2,-2,-2,-2,672,10212,850,415,0
380000,-2,-2,-1,0,0,-81,223,33178,1171,0
480000,0,0,0,2,0,422069,16078,55693,17000,0
50000,0,0,0,0,0,44698,1767,1362,1002,1
60000,2,2,2,2,0,56685,0,5000,2511,0
70000,-1,-1,-2,-2,-1,5580,0,0,0,0
80000,-1,-1,-1,-1,-1,6108,2861,3279,3319,0
350000,-1,-1,-1,-1,-1,713,2272,722,867,0
130000,0,0,0,-1,-1,171438,10908,0,133657,0
360000,1,-2,-2,-2,-2,-103,0,0,0,0
